ID,Name,Municipality_ID,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
86,ANDEL,874,2021-10-06 18:39:12,System - import,2021-10-06 18:39:12,System - import,0
87,ANDELST,1734,2021-10-06 18:39:13,System - import,2021-10-06 18:39:13,System - import,0
88,ANDEREN,1680,2021-10-06 18:39:13,System - import,2021-10-06 18:39:13,System - import,0
89,ANDIJK,364,2021-10-06 18:39:13,System - import,2021-10-06 18:39:13,System - import,0
90,ANE,160,2021-10-06 18:39:15,System - import,2021-10-06 18:39:15,System - import,0
91,ANERVEEN,160,2021-10-06 18:39:16,System - import,2021-10-06 18:39:16,System - import,0
92,ANEVELDE,160,2021-10-06 18:39:16,System - import,2021-10-06 18:39:16,System - import,0
93,ANGEREN,1705,2021-10-06 18:39:16,System - import,2021-10-06 18:39:16,System - import,0
94,ANGERLO,199,2021-10-06 18:39:17,System - import,2021-10-06 18:39:17,System - import,0
95,ANJUM,58,2021-10-06 18:39:18,System - import,2021-10-06 18:39:18,System - import,0
96,ANKEVEEN,1696,2021-10-06 18:39:18,System - import,2021-10-06 18:39:18,System - import,0
97,ANLOO,1680,2021-10-06 18:39:19,System - import,2021-10-06 18:39:19,System - import,0
98,ANNA PAULOWNA,366,2021-10-06 18:39:19,System - import,2021-10-06 18:39:19,System - import,0
99,ANNEN,1680,2021-10-06 18:39:22,System - import,2021-10-06 18:39:22,System - import,0
100,ANNERVEENSCHE KANAAL,1680,2021-10-06 18:39:23,System - import,2021-10-06 18:39:23,System - import,0
101,ANSEN,1690,2021-10-06 18:39:23,System - import,2021-10-06 18:39:23,System - import,0
102,APELDOORN,200,2021-10-06 18:39:23,System - import,2021-10-06 18:39:23,System - import,0
103,APPELSCHA,85,2021-10-06 18:40:07,System - import,2021-10-06 18:40:07,System - import,0
104,APPELTERN,668,2021-10-06 18:40:09,System - import,2021-10-06 18:40:09,System - import,0
105,APPINGEDAM,3,2021-10-06 18:40:10,System - import,2021-10-06 18:40:10,System - import,0
106,ARCEN,885,2021-10-06 18:40:14,System - import,2021-10-06 18:40:14,System - import,0
107,ARKEL,689,2021-10-06 18:40:15,System - import,2021-10-06 18:40:15,System - import,0
108,ARNEMUIDEN,687,2021-10-06 18:40:17,System - import,2021-10-06 18:40:17,System - import,0
109,ARNHEM,202,2021-10-06 18:40:19,System - import,2021-10-06 18:40:19,System - import,0
