ID,Name,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
364,ANDIJK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
365,GRAFT-DE RIJP,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
366,ANNA PAULOWNA,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
370,BEEMSTER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
372,BENNEBROEK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
373,BERGEN NH,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
375,BEVERWIJK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
376,BLARICUM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
377,BLOEMENDAAL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
381,BUSSUM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
383,CASTRICUM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
384,DIEMEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
385,EDAM-VOLENDAM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
388,ENKHUIZEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
392,HAARLEM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
393,HAARLEMMERLIEDE CA,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
394,HAARLEMMERMEER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
395,HARENKARSPEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
396,HEEMSKERK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
397,HEEMSTEDE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
398,HEERHUGOWAARD,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
399,HEILOO,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
400,DEN HELDER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
402,HILVERSUM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
405,HOORN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
406,HUIZEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
412,NIEDORP,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
415,LANDSMEER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
416,LANGEDIJK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
417,LAREN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
420,MEDEMBLIK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
424,MUIDEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
425,NAARDEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
429,OBDAM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
431,OOSTZAAN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
432,OPMEER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
437,OUDER-AMSTEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
439,PURMEREND,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
441,SCHAGEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
